# metric_direction: higher_is_better
iteration	timestamp	category	research_question	status	source	insight_problem	insight_mechanism	confidence	classification
1	2026-07-21T03:58:00+08:00	ICP challenges	Does DeepTPI require candidates to correspond to original gates?	complete	https://arxiv.org/abs/2206.06975	AIG-only internal nodes are not legal physical insertion sites.	DeepTPI directly decomposes original gates without logic optimization and masks AIG nodes lacking an original-gate position; retain exact original-netlist allowlists.	HIGH	parity
2	2026-07-21T04:00:00+08:00	ICP challenges	Why is selected-only training weak for long TPI plans?	complete	https://arxiv.org/abs/1011.0686	A learned sequential policy visits states absent from its demonstration distribution, so errors compound.	Collect expert/ATPG labels at prefixes actually visited by the current policy, then aggregate them for the next training round.	HIGH	new
3	2026-07-21T04:02:00+08:00	ICP challenges	What is the central learning target in DeepTPI?	complete	https://arxiv.org/abs/2206.06975	DeepTPI uses a terminal TC-improvement reward, making credit assignment sparse across hundreds of insertions.	Train same-prefix action ranking and long-horizon return/marginal heads instead of relying on isolated initial-state regression.	HIGH	extension
4	2026-07-21T04:04:00+08:00	Competitor gaps	What does the DeepTPI value network add beyond a generic GNN?	complete	https://arxiv.org/abs/2206.06975	Generic node scores omit predecessor/successor roles in sensitization and propagation.	Keep directed, action-conditioned, testability-aware context and judge improvements against DeepTPI final TC rather than a weak baseline.	HIGH	parity
5	2026-07-21T04:06:00+08:00	Competitor gaps	Can circuit pretraining better encode function rather than topology alone?	complete	https://arxiv.org/abs/2305.16373	Structurally similar gates may have different Boolean behavior and test-point value.	Use functionality-aware pairwise supervision or distilled DeepGate2-style embeddings as a later encoder upgrade.	HIGH	extension
6	2026-07-21T04:08:00+08:00	Competitor gaps	How do newer circuit encoders address scale and subcircuit context?	complete	https://arxiv.org/abs/2407.11095	Local GNN message passing misses large-cone/subcircuit context and scales poorly when deepened.	DeepGate3 combines initial GNN processing with pooling transformers and multiple supervision tasks; prototype only after fixing policy-label mismatch.	HIGH	new
7	2026-07-21T04:10:00+08:00	Market trends	What world-model pattern transfers to this deterministic TPI environment?	complete	https://arxiv.org/abs/2310.16828	Unconstrained long latent rollouts accumulate error and exploit inaccurate value predictions.	Use short receding-horizon latent prediction plus terminal value, trained with one robust hyperparameter set rather than circuit tuning.	MEDIUM	extension
8	2026-07-21T04:12:00+08:00	Market trends	Is one shared model/config across tasks a realistic design target?	complete	https://www.nature.com/articles/s41586-025-08744-2	Per-circuit specialization weakens the generalization claim.	DreamerV3 demonstrates broad task coverage with a shared world-model recipe; preserve the unified five-circuit constraint.	MEDIUM	parity
9	2026-07-21T04:14:00+08:00	Market trends	Could sequence modeling help hundreds-step TPI credit assignment?	complete	https://proceedings.neurips.cc/paper_files/paper/2021/hash/7f489f642a0ddb10272b5c31057f0663-Abstract.html	Independent action heads do not model action-history/remaining-budget interactions explicitly.	A return-conditioned action-history transformer is a big-bet alternative after enough real long-sequence data exists.	MEDIUM	new
10	2026-07-21T04:16:00+08:00	UX & experience	What makes ML-for-EDA results reproducible?	complete	https://arxiv.org/abs/2312.01674	Private flows, inconsistent synthesis, and hidden splits prevent meaningful comparison.	Version the exact netlist mapping, budgets, pattern count, seed, checkpoint, planner environment, and per-circuit output artifacts.	HIGH	parity
11	2026-07-21T04:18:00+08:00	UX & experience	How should correlated circuit samples be split?	complete	https://openreview.net/forum?id=8JfQnNEX3K	Subcircuits or transformed variants from one source can leak across train/test and overstate transfer.	Split by atomic source circuit and forbid every target alias in label/oracle loaders.	HIGH	parity
12	2026-07-21T04:20:00+08:00	UX & experience	Is pointwise value regression aligned with candidate selection?	complete	https://www.microsoft.com/en-us/research/publication/learning-to-rank-from-pairwise-approach-to-listwise-approach-2/	The planner consumes an ordered candidate list, while pointwise error treats actions independently.	Optimize same-prefix lists with pairwise and listwise losses, emphasizing top actions and hard negatives.	HIGH	new
13	2026-07-21T04:22:00+08:00	Revenue & growth	Which public benchmark supports comparable ATPG/DFT claims?	complete	https://www.cerc.utexas.edu/itc99-benchmarks/bench.html	Results on unreleased or structurally mismatched netlists are difficult to reproduce.	Keep the recovered ITC99 gate-level versions and publish mapping/audit artifacts with every result.	HIGH	parity
14	2026-07-21T04:24:00+08:00	Revenue & growth	Where does ML create practical value in TPI?	complete	https://doi.org/10.1007/s10836-022-06016-9	Accurate heuristic evaluation is expensive as circuit complexity grows.	Spend ATPG on informative same-prefix counterfactuals, then amortize candidate ranking with the model.	MEDIUM	extension
15	2026-07-21T04:26:00+08:00	Revenue & growth	How can a new policy improve without catastrophic off-policy regressions?	complete	https://proceedings.mlr.press/v202/mao23c.html	Offline value estimates can overrate actions outside reliable data support; unconstrained residuals changed early b22 actions.	Use a support-aware trust gate: retain the Round13/base ordering unless multiple independently supervised typed heads agree that a candidate is better.	HIGH	new

